hotId,hotPriorId,hotTime,hotLink,hotTitle,hotContent
565434279,,,https://www.zhihu.com/question/565434279,不少美国民众舔蟾蜍替代吸毒，美国紧急提醒「切勿舔索诺拉蟾蜍」，如何看待此事？,"据CNN当地时间6日报道，近日，美国国家公园管理局（NPS）发布一则提醒，呼吁民众切勿舔索诺拉蟾蜍。据了解，这种蟾蜍会分泌一种使人产生类似吸毒的幻觉和快感的物质，不少美国民众通过舔蟾蜍来替代吸毒。目前，舔索诺拉蟾蜍已经在美国发展成了一项产业，有人专门养殖，有人创办了“聚众舔蟾蜍”的相关组织。  	此前，纽约时报曾撰文指出，如今，索诺拉蟾蜍的数量正面临崩溃，这是美国迷幻药复兴导致的一个无人预料到的结果。 据NPS介绍，索诺兰沙漠蟾蜍又称科罗拉多河蟾蜍，是北美发现的最大蟾蜍之一，可以活20年之久（一般蟾蜍只有10年），其体长近18厘米，会发出微弱、低沉的叫声，每次持续不到1秒钟，它有突出的腮腺，会分泌一种强效毒素，足以毒死一只成年狗。而普通人舔它的话可能会导致生病。此前，NPS曾多次发布提醒，呼吁人们切勿舔这种蟾蜍。 随着舔索诺兰蟾蜍的人越来越多，如今，舔食者们还分成了两派，一方愿意接受合成的蟾蜍毒素，另一方是体验派，非纯粹蟾蜍毒素不可；后者则发展出了一种聚众舔食蟾蜍项目。 <a href=""https://link.zhihu.com/?target=https%3A//www.guancha.cn/internation/2022_11_08_665830.shtml"" class="" wrap external"" target=""_blank"" rel=""nofollow noreferrer"">美国国家公园管理局发提醒：切勿舔索诺拉蟾蜍</a>"
565548084,,,https://www.zhihu.com/question/565548084,美专家称「TikTok 向世界输送鸦片，导致美国孩子想做网红，而中国孩子想做宇航员」，如何看待此言论？,"据美国CBS电视台《60分钟》8日报道，前谷歌设计伦理学家特里斯坦·哈里斯（Tristan  Harris）在采访中谈论Facebook、Twitter等社交媒体为获取更大利益对美国网络用户进行算法“支配”。然而当谈及社媒对青少年儿童的影响时，他莫名拉出TikTok“甩锅”，宣称中国版抖音和海外版TikTok对孩子们所呈现的内容“差异极大”。  	他更诋毁道，“中国公司把抖音做成‘菠菜’（给中国孩子们），却把TikTok做成‘鸦片’向全世界输送……（在此影响下）我们的孩子现在都想做网红，而中国孩子想做宇航员。”  	 对此，有网民在评论区怒怼哈里斯，喊他与其泼脏水不如好好反思，“为什么在中国健康的‘菠菜’，到了美国就成了有害的‘鸦片’了？为什么所有在中国正常的事情，一到你们国家就不正常了？”还有人指出，用户生成的内容恰恰反映了内容生产国的文化，“我认为这更像是你们美国的问题，而非中国……”  	根据CBS新闻《60分钟》的节目内容，特里斯坦·哈里斯在采访中主要表达的是，像Facebook、Twitter等社交媒体如今为了获得更大利益，正在放大美国用户的戾气与愤怒。  	他说，“你越是使用侮辱性的、煽动性的、轻蔑的语言，就越容易被分享转发。你越善于创造新的制造分裂的方式，我们（社媒平台）就会给你越多的点赞、关注者和转发。”  	哈里斯还特别提到，一项关于Twitter的新研究发现“在推文中攻击政敌几乎百分百能引起关注”，“每一个与你政治立场相反的有关词汇，能让帖子被转发的几率增加67%。” "
565566736,,,https://www.zhihu.com/question/565566736,短道速滑刘氏兄弟申请变更国籍，放弃匈牙利国籍将损失巨额政府年金，如何看待他们的选择？,11月8日，匈牙利滑冰协会正式通报刘少林和刘少昂兄弟提交了更改国籍的申请。对于刘氏兄弟来说，除了面临最多三年无缘国际大赛的可能外，两人还将损失巨额的政府年金补贴。根据匈牙利政府的相关政策，奥运奖牌得主将从35周岁起可以按月领取年金，夺得了一枚金牌的刘少林每月可领取约80万匈牙利福林(约合人民币1.45万)，两金得主刘少昂每月可领取150万匈牙利福林(约合人民币2.73万)。一旦两人放弃匈牙利国籍，这笔终身巨额年金也将取消。
565609719,,,https://www.zhihu.com/question/565609719,2022 年 12 月 1 日起我国给予阿富汗等十国 98% 税目产品零关税待遇，这释放了哪些信号？,按照《国务院关税税则委员会关于给予最不发达国家98%税目产品零关税待遇的公告》（税委会公告2021年第8号），根据我国政府与有关国家政府换文规定，自2022年12月1日起，对原产于阿富汗、贝宁共和国、布基纳法索、几内亚比绍共和国、莱索托王国、马拉维共和国、圣多美和普林西比民主共和国、坦桑尼亚联合共和国、乌干达共和国和赞比亚共和国等10个最不发达国家的98%税目的进口产品，适用税率为零的特惠税率。其中，98%税目为税委会公告2021年第8号文件附件中税率为0的税目，共计8786个。 
565563427,,,https://www.zhihu.com/question/565563427,网传「检测机构暂停新冠核酸样本接收」，许昌市财政局回应称「正开会研究此事」，具体情况如何？,《科创板日报》9日讯，一份《关于新冠核酸样本暂停接收的通知》昨日在社交媒体传出。许昌博奥润康医学检验实验室称，该机构从2021年1月至今一直承担着许昌城区大规模核酸检测任务，试剂耗材及人工费用投入费用较高，目前各区县均未及时汇款，导致该机构运转压力太大，接总部通知，于2022年11月11日(本周五)零时起暂停接收各县、区所有新冠核酸样本。对此，《科创板日报》记者致电河南许昌市财政局，对方表示已注意到相关情况，许昌市财政局社保科正在市政府开会研究此事。
565591603,,,https://www.zhihu.com/question/565591603,如何看待扎克伯格正式宣布 Meta 裁员超 11000 人？此举对该公司元宇宙战略有何影响？,Facebook母公司Meta11月9日发布公告称，将裁员13%，即裁减超过11000名员工。这是今年最大的科技公司裁员之一，也是Meta公司18年历史上的首次。“不仅电子商务回到了此前的趋势，而且宏观经济下滑，竞争加剧，广告流失，导致我们的收入远远低于我的预期。”Meta首席执行官马克·扎克伯格在致员工的信中说，“我错了，我对此负责。”Meta公司表示，作为遣散费的一部分，它将支付16周的基本工资，加上每服务一年额外支付两周的工资，并支付所有剩余的带薪休假。Meta将为员工及其家人支付6个月的医疗保健费用。扎克伯格称，除了少数例外，Meta将削减可支配支出，延长招聘冻结期至明年第一季度，并正在彻底审查基础设施支出。Meta在公告中表示，仍然预测第四季度营收300亿美元至325亿美元，预计2023年Reality Labs的运营亏损将同比大幅增长。扎克伯格在信中称，他相信Meta今天作为一家公司被严重低估了，其核心业务是“有史以来最赚钱的业务之一”，未来潜力巨大。自2022年初以来，Meta股价已下跌35%。此前推特、微软等主要硅谷科技公司都开展了裁员。
565401579,,,https://www.zhihu.com/question/565401579,王毅应约同澳外长通电话，澳方表示无意放大存在的分歧，释放了哪些信息？还有哪些细节值得关注？,外交部网站消息，2022年11月8日，国务委员兼外长王毅应约同澳大利亚外长黄英贤通电话。黄英贤表示，近段时间，澳中保持有效沟通接触。经过不懈努力，两国关系出现积极变化。澳方将继续坚持一个中国政策，在相互尊重基础上同中国发展更加稳定、互惠互利的关系。良好的澳中关系与维护各自国家利益并不矛盾，澳方无意放大存在的分歧，愿在澳中全面战略伙伴关系框架下，以负责任的方式妥处具体问题，持续朝着改善并加强澳中关系这一方向做出努力。王毅表示，中澳共同利益远大于分歧。中澳关系缓和改善符合双方根本利益，也符合两国人民和国际社会的共同期待。双方应继续坚持全面战略伙伴关系基本定位这一共识，秉持相互尊重的精神，本着求同存异的态度，朝着互利共赢的目标做出努力，推动两国之间重建互信，两国关系重回正轨，在此过程中，逐步解决各自的合理关切，并共同为应对当前全球性挑战作出积极贡献。
565546563,,,https://www.zhihu.com/question/565546563,比特币一度跌超 15%，24 小时全网 84 亿元蒸发，37 万人爆仓，发生了什么？哪些信息值得关注？,"周二早盘，随着Sam Bankman-Fried的加密货币交易所FTX发行的数字货币FTX Token跌至2021年2月以来的最低水平，由于对SBF对冲基金Alameda Research的财务日益担忧，比特币面临抛售压力。<b>在过去的24小时里，比特币周二一度跌超15%，至17,684美元左右，创6月以来最低水平，击穿了被一些投资者认为的关键支撑位。</b>截至发稿，比特币报18676美元，跌幅9.94%。其他加密货币也几乎全军覆没，以太坊跌15.59%，狗狗币跌22.7%，XRP跌14.12%。另据<a href=""https://link.zhihu.com/?target=http%3A//CoinMarketCap.com"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">CoinMarketCap.com</span><span class=""invisible""></span></a>，<b>FTT一度下跌逾75%</b>至5.50美元左右。<b>据币COIN数据统计，全网24小时爆仓量：11.6亿美元(约合人民币84亿元)；24小时共有37万人爆仓。</b>"
565175485,,,https://www.zhihu.com/question/565175485,按照珠海航展上展示的标准，打包出口一个合成旅大概需要多少钱？,今年珠海航展上，中国直接展示了此前国际市场从来没出现过的配置，整建制对外出口合成旅。这一面展板上就有多达11种不同的模块，分别为一个高度信息化的旅指挥中心、侦察营、装甲营、机步营、炮兵营、无人机营、反坦克营、防空营、作战支援营、勤务保障营和巷战增强模块。只要客户下单，一整个合成旅的装备就能漂洋过海抵达，兵员直接“拎包入住”，一个合成旅能够在短时间内配齐所有装备！如果要出口一个中型旅大概多少钱呢，重型轻型又要多少钱？
565554762,,,https://www.zhihu.com/question/565554762,「果链」巨头歌尔股份被境外大客户砍单，超 34 亿资金封跌停，哪些信息值得关注？,<b>歌尔股份被境外大客户砍单 超34亿资金封跌停</b>歌尔股份竞价跌停，成交额近9000万，跌停板封单超34亿元。消息面上，歌尔股份昨日晚间发布风险提示性公告，近日收到境外某大客户的通知，暂停生产其一款智能声学整机产品。
